Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.4	 0.0000	 0.1774
1.0	 2.0	 0.30	 0.35	 0.0	 0.4	 0.1774	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.2326
1.0	 2.0	 0.35	 0.40	 0.0	 0.4	 0.2326	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.6	 0.0000	 0.1940
1.0	 2.0	 0.40	 0.45	 0.0	 0.6	 0.1940	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.6	 0.0000	 0.2879
1.0	 2.0	 0.45	 0.50	 0.0	 0.6	 0.2879	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.65	 0.70	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.30	 0.35	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.35	 0.40	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.40	 0.45	 0.0	 1.6	 0.0000	 0.7000
