Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.2630
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2630	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.1662
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1662	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.1398
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1398	 0.7000
1.0	 2.0	 0.30	 0.35	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.1432
1.0	 2.0	 0.35	 0.40	 0.0	 0.4	 0.1432	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 0.8	 0.0000	 0.1350
1.0	 2.0	 0.35	 0.40	 0.4	 0.8	 0.1350	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.4	 0.0000	 0.2026
1.0	 2.0	 0.40	 0.45	 0.0	 0.4	 0.2026	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 0.8	 0.0000	 0.2784
1.0	 2.0	 0.40	 0.45	 0.4	 0.8	 0.2784	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.6	 0.0000	 0.1806
1.0	 2.0	 0.45	 0.50	 0.0	 0.6	 0.1806	 0.7000
1.0	 2.0	 0.45	 0.50	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.8	 0.0000	 0.1797
1.0	 2.0	 0.50	 0.55	 0.0	 0.8	 0.1797	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 1.0	 0.0000	 0.2629
1.0	 2.0	 0.55	 0.60	 0.0	 1.0	 0.2629	 0.7000
1.0	 2.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.65	 0.70	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.2960
2.0	 3.0	 0.30	 0.35	 0.0	 0.2	 0.2960	 0.7000
2.0	 3.0	 0.30	 0.35	 0.2	 0.6	 0.0000	 0.3195
2.0	 3.0	 0.30	 0.35	 0.2	 0.6	 0.3195	 0.7000
2.0	 3.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.2777
2.0	 3.0	 0.35	 0.40	 0.0	 0.4	 0.2777	 0.7000
2.0	 3.0	 0.35	 0.40	 0.4	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.40	 0.45	 0.0	 0.6	 0.0000	 0.2905
2.0	 3.0	 0.40	 0.45	 0.0	 0.6	 0.2905	 0.7000
2.0	 3.0	 0.45	 0.50	 0.0	 0.8	 0.0000	 0.3341
2.0	 3.0	 0.45	 0.50	 0.0	 0.8	 0.3341	 0.7000
2.0	 3.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.55	 0.60	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
2.0	 3.0	 0.65	 0.70	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.30	 0.35	 0.0	 0.4	 0.0000	 0.3553
3.0	 4.0	 0.30	 0.35	 0.0	 0.4	 0.3553	 0.7000
3.0	 4.0	 0.30	 0.35	 0.4	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.35	 0.40	 0.0	 0.6	 0.0000	 0.3715
3.0	 4.0	 0.35	 0.40	 0.0	 0.6	 0.3715	 0.7000
3.0	 4.0	 0.40	 0.45	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.45	 0.50	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.55	 0.60	 0.0	 1.6	 0.0000	 0.7000
3.0	 4.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.30	 0.35	 0.0	 0.4	 0.0000	 0.3612
4.0	 5.0	 0.30	 0.35	 0.0	 0.4	 0.3612	 0.7000
4.0	 5.0	 0.30	 0.35	 0.4	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.3904
4.0	 5.0	 0.35	 0.40	 0.0	 0.4	 0.3904	 0.7000
4.0	 5.0	 0.35	 0.40	 0.4	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.40	 0.45	 0.0	 0.6	 0.0000	 0.4055
4.0	 5.0	 0.40	 0.45	 0.0	 0.6	 0.4055	 0.7000
4.0	 5.0	 0.45	 0.50	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.50	 0.55	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.55	 0.60	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.60	 0.65	 0.0	 1.6	 0.0000	 0.7000
4.0	 5.0	 0.65	 0.70	 0.0	 1.6	 0.0000	 0.7000
5.0	 6.0	 0.30	 0.35	 0.0	 0.4	 0.0000	 0.4548
5.0	 6.0	 0.30	 0.35	 0.0	 0.4	 0.4548	 0.7000
5.0	 6.0	 0.30	 0.35	 0.4	 1.6	 0.0000	 0.7000
5.0	 6.0	 0.35	 0.40	 0.0	 0.4	 0.0000	 0.5000
5.0	 6.0	 0.35	 0.40	 0.0	 0.4	 0.5000	 0.7000
5.0	 6.0	 0.35	 0.40	 0.4	 1.6	 0.0000	 0.7000
