Q2l	 Q2u	 zl	 zu	 Ptl	 Ptu	 xl	 xu
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.0000	 0.1173
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1173	 0.1324
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1324	 0.1455
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1455	 0.1578
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1578	 0.1703
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1703	 0.1834
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1834	 0.1977
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.1977	 0.2165
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2165	 0.2509
1.0	 2.0	 0.30	 0.35	 0.0	 0.2	 0.2509	 0.7000
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0000	 0.0935
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.0935	 0.1031
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1031	 0.1116
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1116	 0.1202
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1202	 0.1293
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1293	 0.1390
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1390	 0.1498
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1498	 0.1616
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1616	 0.1746
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1746	 0.1897
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.1897	 0.2101
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.2101	 0.2467
1.0	 2.0	 0.30	 0.35	 0.2	 0.4	 0.2467	 0.7000
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0000	 0.0985
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.0985	 0.1140
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1140	 0.1302
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1302	 0.1483
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1483	 0.1694
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1694	 0.1948
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.1948	 0.2412
1.0	 2.0	 0.30	 0.35	 0.4	 0.6	 0.2412	 0.7000
1.0	 2.0	 0.30	 0.35	 0.6	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.0000	 0.1269
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1269	 0.1456
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1456	 0.1620
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1620	 0.1784
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1784	 0.1963
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.1963	 0.2221
1.0	 2.0	 0.35	 0.40	 0.0	 0.2	 0.2221	 0.7000
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0000	 0.0987
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.0987	 0.1103
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1103	 0.1206
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1206	 0.1320
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1320	 0.1442
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1442	 0.1576
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1576	 0.1730
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1730	 0.1913
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.1913	 0.2188
1.0	 2.0	 0.35	 0.40	 0.2	 0.4	 0.2188	 0.7000
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.0000	 0.1003
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1003	 0.1190
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1190	 0.1397
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1397	 0.1625
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1625	 0.1893
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.1893	 0.2380
1.0	 2.0	 0.35	 0.40	 0.4	 0.6	 0.2380	 0.7000
1.0	 2.0	 0.35	 0.40	 0.6	 0.8	 0.0000	 0.1566
1.0	 2.0	 0.35	 0.40	 0.6	 0.8	 0.1566	 0.7000
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.0000	 0.1371
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1371	 0.1602
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1602	 0.1813
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.1813	 0.2066
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.2066	 0.2625
1.0	 2.0	 0.40	 0.45	 0.0	 0.2	 0.2625	 0.7000
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.0000	 0.1046
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1046	 0.1194
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1194	 0.1341
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1341	 0.1499
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1499	 0.1677
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1677	 0.1893
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.1893	 0.2246
1.0	 2.0	 0.40	 0.45	 0.2	 0.4	 0.2246	 0.7000
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.0000	 0.1045
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.1045	 0.1269
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.1269	 0.1538
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.1538	 0.1860
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.1860	 0.2566
1.0	 2.0	 0.40	 0.45	 0.4	 0.6	 0.2566	 0.7000
1.0	 2.0	 0.40	 0.45	 0.6	 0.8	 0.0000	 0.1357
1.0	 2.0	 0.40	 0.45	 0.6	 0.8	 0.1357	 0.2379
1.0	 2.0	 0.40	 0.45	 0.6	 0.8	 0.2379	 0.7000
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.0000	 0.1470
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.1470	 0.1758
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.1758	 0.2086
1.0	 2.0	 0.45	 0.50	 0.0	 0.2	 0.2086	 0.7000
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.0000	 0.1115
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1115	 0.1304
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1304	 0.1503
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1503	 0.1731
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.1731	 0.2021
1.0	 2.0	 0.45	 0.50	 0.2	 0.4	 0.2021	 0.7000
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.0000	 0.1091
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.1091	 0.1373
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.1373	 0.1734
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.1734	 0.2454
1.0	 2.0	 0.45	 0.50	 0.4	 0.6	 0.2454	 0.7000
1.0	 2.0	 0.45	 0.50	 0.6	 0.8	 0.0000	 0.1377
1.0	 2.0	 0.45	 0.50	 0.6	 0.8	 0.1377	 0.7000
1.0	 2.0	 0.45	 0.50	 0.8	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.0000	 0.1592
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.1592	 0.1979
1.0	 2.0	 0.50	 0.55	 0.0	 0.2	 0.1979	 0.7000
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.0000	 0.1201
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.1201	 0.1440
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.1440	 0.1715
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.1715	 0.2090
1.0	 2.0	 0.50	 0.55	 0.2	 0.4	 0.2090	 0.7000
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.0000	 0.1154
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.1154	 0.1515
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.1515	 0.2093
1.0	 2.0	 0.50	 0.55	 0.4	 0.6	 0.2093	 0.7000
1.0	 2.0	 0.50	 0.55	 0.6	 0.8	 0.0000	 0.1445
1.0	 2.0	 0.50	 0.55	 0.6	 0.8	 0.1445	 0.7000
1.0	 2.0	 0.50	 0.55	 0.8	 1.6	 0.0000	 0.7000
1.0	 2.0	 0.55	 0.60	 0.0	 0.2	 0.0000	 0.1737
1.0	 2.0	 0.55	 0.60	 0.0	 0.2	 0.1737	 0.2562
1.0	 2.0	 0.55	 0.60	 0.0	 0.2	 0.2562	 0.7000
1.0	 2.0	 0.55	 0.60	 0.2	 0.4	 0.0000	 0.1292
1.0	 2.0	 0.55	 0.60	 0.2	 0.4	 0.1292	 0.1616
1.0	 2.0	 0.55	 0.60	 0.2	 0.4	 0.1616	 0.2040
1.0	 2.0	 0.55	 0.60	 0.2	 0.4	 0.2040	 0.7000
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.0000	 0.1232
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.1232	 0.1696
1.0	 2.0	 0.55	 0.60	 0.4	 0.6	 0.1696	 0.7000
1.0	 2.0	 0.55	 0.60	 0.6	 0.8	 0.0000	 0.1575
